previous_marks,current_marks,difficulty,days_remaining,confidence,previous_study_hours,available_hours,recommended_study_hours
80,47,1,50,3,16.0,1.7,20.33
87,74,1,40,4,6.4,1.5,11.74
78,41,5,15,5,23.9,3.2,29.65
95,40,2,47,4,20.3,1.8,27.72
61,46,1,27,1,21.2,2.7,23.22
42,86,4,37,1,48.8,2.9,21.54
93,80,5,59,3,31.0,4.5,21.05
54,89,3,8,2,44.0,2.9,19.19
93,63,2,26,3,14.4,2.3,22.71
81,44,5,43,2,29.0,2.2,34.38
57,80,5,17,3,42.9,4.9,20.88
42,91,3,28,3,8.0,5.6,15.33
85,60,2,44,4,22.8,5.6,18.65
56,48,2,50,5,29.3,4.7,17.03
77,65,3,17,2,27.9,1.5,21.8
47,49,2,53,4,31.8,2.9,18.63
69,73,3,38,1,35.6,1.6,23.37
88,57,3,10,3,24.6,3.3,28.78
86,56,5,51,2,27.8,1.5,31.97
93,80,5,41,2,11.9,4.8,25.6
89,73,1,41,3,27.0,1.6,14.14
93,91,3,18,1,15.8,3.8,17.84
86,71,1,51,5,39.5,1.6,10.52
75,50,3,36,5,24.0,2.1,21.44
86,84,2,48,3,23.0,4.4,13.2
73,68,1,18,2,7.9,1.1,17.88
77,54,1,7,1,15.3,5.5,28.23
44,72,2,20,4,14.6,1.7,15.9
76,76,4,18,4,41.3,2.0,16.45
67,62,4,29,4,43.9,1.3,21.4
81,46,1,28,3,41.0,1.5,20.34
74,68,2,30,2,17.5,2.2,21.17
68,91,5,9,1,34.3,3.7,24.08
45,88,2,13,4,26.9,2.1,11.95
43,50,4,3,4,16.9,4.9,27.56
67,84,5,45,4,12.0,2.5,21.21
77,87,5,6,3,7.6,3.9,24.38
94,73,2,6,5,8.6,1.9,18.12
83,95,2,28,1,47.4,3.8,14.89
42,79,1,29,5,30.4,2.6,6.83
82,85,3,18,3,22.8,4.4,15.52
60,88,1,3,4,33.0,3.8,10.56
74,53,5,19,2,47.0,5.4,32.36
63,58,2,31,5,36.7,4.1,16.75
81,73,1,45,5,18.5,4.3,11.9
48,56,1,59,1,38.4,1.8,19.28
53,85,3,16,3,27.7,2.3,18.3
43,45,4,56,3,7.0,2.7,25.31
56,50,4,38,4,30.2,1.6,25.47
